id,campaign,model,time
9762,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/1 16:36
9763,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/1 16:45
9764,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/1 16:51
9765,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/1 17:00
9767,PRJ_BQE_Home Entertainment,TH685,2021/6/1 20:33
9768,LCD_BQbr_H1_2021,PD3200Q,2021/6/2 02:34
9769,LCD_BQbr_H1_2021,PD3200Q,2021/6/2 03:38
9770,LCD_BQbr_H1_2021,PD3200Q,2021/6/2 03:48
9771,LCD_BQbr_H1_2021,SW270C,2021/6/2 03:59
9772,PRJ_BQP_Portable PRJ_Q221,GS2,2021/6/2 04:00
9773,LCD_BQbr_H1_2021,SW270C,2021/6/2 04:14
9774,LCD_BQbr_H1_2021,EX2510,2021/6/2 04:19
9775,LCD_BQbr_H1_2021,EX2510,2021/6/2 04:27
9777,LCD_BQbr_H1_2021,EX2510,2021/6/2 04:37
9778,LCD_BQbr_H1_2021,EX2510,2021/6/2 04:40
9779,LCD_BQbr_H1_2021,EX2510,2021/6/2 04:45
9780,LCD_BQbr_H1_2021,EX2510,2021/6/2 04:49
9781,LCD_BQbr_H1_2021,EX2510,2021/6/2 04:53
9782,LCD_BQbr_H1_2021,EX2510,2021/6/2 05:08
9783,LCD_BQbr_H1_2021,EX2510,2021/6/2 05:11
9784,2021_1H_BQbr_PRJ_HomeCinema4K,W1700M,2021/6/2 05:18
9785,2021_1H_BQbr_PRJ_HomeCinema4K,W1700M,2021/6/2 05:24
9786,2021_1H_BQbr_PRJ_HomeCinema4K,W1700M,2021/6/2 05:32
9787,ESD_BQbr_H1_2021,XL2546K,2021/6/2 05:44
9788,ESD_BQbr_H1_2021,XL2546K,2021/6/2 05:50
9789,ESD_BQbr_H1_2021,XL2546K,2021/6/2 05:56
9790,ESD_BQbr_H1_2021,XL2546K,2021/6/2 06:55
9791,ESD_BQbr_H1_2021,XL2411K,2021/6/2 06:59
9793,ESD_BQbr_H1_2021,XL2411K,2021/6/2 07:09
9794,ESD_BQbr_H1_2021,XL2411K,2021/6/2 07:11
9795,ESD_BQbr_H1_2021,XL2411K,2021/6/2 07:17
9796,ESD_BQbr_H1_2021,XL2411K,2021/6/2 07:20
9797,ESD_BQbr_H1_2021,XL2411K,2021/6/2 07:24
9798,ESD_BQbr_H1_2021,XL2411K,2021/6/2 07:37
9799,ESD_BQbr_H1_2021,XL2411K,2021/6/2 09:29
9800,ESD_BQbr_H1_2021,XL2411K,2021/6/2 09:31
9801,ESD_BQbr_H1_2021,XL2411K,2021/6/2 09:33
9802,GGP_BQbr_H1_2021,S2,2021/6/2 09:37
9803,GGP_BQbr_H1_2021,S2,2021/6/2 09:39
9804,GGP_BQbr_H1_2021,FK1+-B,2021/6/2 09:43
9805,GGP_BQbr_H1_2021,FK1+-B,2021/6/2 09:46
9806,GGP_BQbr_H1_2021,ZA11-B,2021/6/2 09:48
9807,GGP_BQbr_H1_2021,ZA13-B,2021/6/2 09:51
9808,GGP_BQbr_H1_2021,ZA13-B,2021/6/2 09:54
9809,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/2 10:02
9810,PRJ_BQuk_Gaming Projector_2021 1H,TK700STi,2021/6/2 11:32
